"Nro Empenho"|"Nro Processo"|"Fornecedor"|"Data Empenho"|"Descrição Empenho"|"Função"|"Sub Função"|"Fonte Recurso"|"Aplicação"|"Natureza"|"Unidade Orçamentária"|"Programa"|"Ação"|"Modalidade de Licitação"|"Empenho Original"|"Estorno Empenho"|"Saldo Empenho"|"Valor Processado"|"Valor Pago"
"00005-01"|"E00198/2021"|"Velti Tecnologia em Sist.e Equipamentos Ltda <br>(05.734.665/0001-42)"|"02/01/2023"|"REEMP.NE 3065/22 CPL 198/21 (RH) SERV.MA NUT.RELOGIO PONTO"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Pregao Eletronico"|48581.11|0.00|48581.11|6359.10|6359.10
"00005-01"|"E00198/2021"|"Velti Tecnologia em Sist.e Equipamentos Ltda <br>(05.734.665/0001-42)"|"22/12/2023"|"REEMP.NE 3065/22 CPL 198/21 (RH) SERV.MA NUT.RELOGIO PONTO"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Pregao Eletronico"|0.00|-42222.01|-42222.01|0.00|0.00
"00016-01"|"O31380/2021"|"Irmandade Santa Casa de Misericordia Sorocaba <br>(71.485.056/0001-21)"|"02/01/2024"|"PA22837/21(DAC)-SANTA CASA (POA)- R.44/2 3"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|12018548.80|0.00|12018548.80|12018548.80|12018548.80
"00018-01"|"O27027/2022"|"Recanto Vida Familiar Ltda <br>(33.001.871/0001-89)"|"02/01/2024"|"REGULAR.DEPOSITO CURADOR CF PA 27027/22 FLS.129 E 136V."|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.93.00-Indenizacoes e Restituicoes"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|10220.00|0.00|10220.00|10220.00|10220.00
"00021-01"|"E00250/2020"|"<b>Senior Mais Servicos em Saude </b><br>Senior Mais Servicos em Saude Ltda <br>(29.039.106/0001-80)"|"02/01/2023"|"REEMP.NE:3732/22-SERVICO HOME CARE Y.R.F CPLV04.250/20-FL.465"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|9561.34|-9561.34|0.00|0.00|0.00
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"02/01/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|9160200.00|0.00|9160200.00|8265848.71|8265848.71
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"04/10/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-25887.41|-25887.41|0.00|0.00
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"05/12/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-51774.82|-51774.82|0.00|0.00
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"16/10/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-25887.41|-25887.41|0.00|0.00
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"24/06/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-73456.78|-73456.78|0.00|0.00
