"Nro Empenho"|"Nro Processo"|"Fornecedor"|"Data Empenho"|"Descrição Empenho"|"Função"|"Sub Função"|"Fonte Recurso"|"Aplicação"|"Natureza"|"Unidade Orçamentária"|"Programa"|"Ação"|"Modalidade de Licitação"|"Empenho Original"|"Estorno Empenho"|"Saldo Empenho"|"Valor Processado"|"Valor Pago"
"00001-01"|"G00033/2015"|"Sorodiesel Retif.motores Bombas e Pecas Ltda <br>(47.807.375/0001-21)"|"04/01/2016"|"CPL 33/2015 PECA P/VEICULO P-883 SAMU VOLUME 03"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb. e Hospit"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2261-Acoes de Assistencia - Urgencia e Emergencia Movel"|"Pregao Presencial"|5042.00|0.00|5042.00|5042.00|5042.00
"00001-01"|"G00911/2017"|"Ciamed Distribuidora de Medicamentos Ltda <br>(05.782.733/0001-49)"|"02/01/2019"|"AQUIS.MEDICAMENTOS P/SES, CONF.FL.110 CPL 911/17  VOL.10"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2234-Piso de Atencao Basica Variavel - Pab"|"Pregao Presencial"|21296.00|0.00|21296.00|21296.00|21296.00
"00002-01"|"G00033/2015"|"Sorodiesel Retif.motores Bombas e Pecas Ltda <br>(47.807.375/0001-21)"|"04/01/2016"|"CPL 33/2015 SERV.VEICULO P-883 SAMU VOLUME 03"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb. e Hospit"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2261-Acoes de Assistencia - Urgencia e Emergencia Movel"|"Pregao Presencial"|3338.00|0.00|3338.00|3338.00|3338.00
"00002-01"|"G00576/2017"|"<b>Indmed Distr.medicamentos/prod.hospitalares </b><br>Katia Cilene Dias Quaranta Dist.medicamentos <br>(24.614.797/0001-85)"|"02/01/2019"|"AQUIS.MEDICAMENTOS P/SES, CONF.FL.140 CPL 576/17  VOL.11"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Estaduais - Vinculados"|"Municipalizacao da Saudeè"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2243-2107-DOSE Certa"|"Pregao Presencial"|3115.00|0.00|3115.00|3115.00|3115.00
"00003-01"|"G00657/2017"|"Comercial Cirurgica Rioclarense Ltda <br>(67.729.178/0004-91)"|"02/01/2019"|"AQUIS.MEDICAMENTOS P/SES, CONF.FL.141 CPL 657/17  VOL.06"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2246-2113-INOVACAO e Conservacao"|"Pregao Presencial"|8400.00|0.00|8400.00|8400.00|8400.00
"00004-01"|"E00288/2018"|"Ativa Comercial Hospitalar Ltda <br>(04.274.988/0002-19)"|"02/01/2019"|"AQUIS.MEDICAMENTOS P/SES, CONF.FL.28 CPL 288/18  VOL.05"|"Saude"|"Suporte Profilatico e Terapeutico"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 01 - Assistencia Farmaceutica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2230-Promocao da Assistencia Farmaceutica e Insumos Est Rategicos na Atencao Basica em Saude"|"Pregao Eletronico"|1500.00|0.00|1500.00|1500.00|1500.00
"00007-01"|"S00592/2017"|"Casa Grande Prest.de Serv.e Construcoes Ltda <br>(05.592.745/0001-00)"|"02/01/2018"|"REGULARIZ.NE 18268/17-CPL 592/17-SERV.LI MPEZA HOSPITALAR P/UBS S,UNID.URG.EMERG."|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Comp Ambulatorial Hospitalar"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2093-Teto Municipal de Media e Alta Complexidade Ambula Torial - Santa Casa"|"Dispensa de Licitacao"|543075.50|-543075.50|0.00|0.00|0.00
"00009-01"|"G00911/2017"|"<b>Soma/sp </b><br>Soma/sp Produtos Hospitalares Ltda <br>(05.847.630/0001-10)"|"02/01/2019"|"(R.SAUDE/FARM.BASICA)FORN.MEDICAMENTOS VOL.08 PAG.131/132"|"Saude"|"Suporte Profilatico e Terapeutico"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 01 - Assistencia Farmaceutica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2230-Promocao da Assistencia Farmaceutica e Insumos Est Rategicos na Atencao Basica em Saude"|"Pregao Presencial"|1718.00|0.00|1718.00|1718.00|1718.00
"00010-01"|"C00879/2018"|"Tt Tech Com.e Assist.tec.de Equip.odont.ltda <br>(09.599.701/0001-63)"|"02/01/2019"|"(UPH/PA)ADITIVO MANUTENCAO VALVULAS UPH ZONA NORTE FLS.152"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2246-2113-INOVACAO e Conservacao"|"Convite"|3500.00|0.00|3500.00|0.00|0.00
"00010-01"|"C00879/2018"|"Tt Tech Com.e Assist.tec.de Equip.odont.ltda <br>(09.599.701/0001-63)"|"25/04/2019"|"(UPH/PA)ADITIVO MANUTENCAO VALVULAS UPH ZONA NORTE FLS.152"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2246-2113-INOVACAO e Conservacao"|"Convite"|0.00|-3500.00|-3500.00|0.00|0.00
